folioviv,foliohog,est_socio,leche,huevo,pescado,p_leche,p_huevo
100188902,1,3,2558.5,989.99,655.71,18.72,28.5
100188903,1,3,2172.8,347.13,0,18.72,28.5
100188904,1,3,0,115.71,0,18.72,28.5
100188906,1,3,539.99,0,0,18.72,28.5
100192801,1,3,0,0,0,18.72,28.5
100192802,1,3,1205.99,347.14,0,18.72,28.5
100192803,1,3,0,0,0,18.72,28.5
100192805,1,3,835.7,359.99,0,18.72,28.5
100192806,1,3,925.71,0,0,18.72,28.5
100206401,1,3,0,0,0,18.72,28.5
100206405,1,3,347.14,861.42,0,18.72,28.5
100211002,1,3,205.71,0,0,18.72,28.5
100211003,1,3,527.13,334.28,0,18.72,28.5
100211004,1,3,1645.69,1157.13,771.42,18.72,28.5
100211005,1,3,623.56,359.99,771.42,18.72,28.5
100215601,1,3,1414.27,617.14,0,18.72,28.5
100215603,1,3,205.71,167.14,0,18.72,28.5
100215603,2,3,694.27,179.99,0,18.72,28.5
100215604,1,3,1928.54,552.84,0,18.72,28.5
100215605,1,3,899.99,0,0,18.72,28.5
100215606,1,3,0,0,2571.42,18.72,28.5
100217901,1,2,2159.95,0,0,18.72,28.5
100217902,1,2,874.26,0,642.85,18.72,28.5
100217903,1,2,1542.85,0,0,18.72,28.5
100217904,1,2,2288.51,334.28,0,18.72,28.5
100217905,1,2,1979.97,539.98,282.85,18.72,28.5
100220702,1,3,308.57,0,0,18.72,28.5
100220703,1,3,0,443.56,0,18.72,28.5
100220704,1,3,912.83,385.71,0,18.72,28.5
100220705,1,3,655.7,0,0,18.72,28.5
100220706,1,3,1028.53,0,0,18.72,28.5
100225001,1,4,250.71,0,0,18.72,28.5
100225003,1,4,443.56,0,0,18.72,28.5
100225004,1,4,803.52,257.14,0,18.72,28.5
100225005,1,4,0,0,0,18.72,28.5
100239201,1,3,1979.95,167.14,1157.14,18.72,28.5
100239202,1,3,514.28,154.28,0,18.72,28.5
100239204,1,3,0,0,0,18.72,28.5
100239206,1,3,1690.68,681.42,0,18.72,28.5
100264801,1,2,0,0,0,18.72,28.5
100264802,1,2,1272.84,359.99,0,18.72,28.5
100264803,1,2,437.13,604.27,0,18.72,28.5
100264804,1,2,874.28,0,0,18.72,28.5
100264805,1,2,655.7,0,0,18.72,28.5
100264806,1,2,411.42,0,0,18.72,28.5
100266501,1,3,0,0,0,18.72,28.5
100266502,1,3,1014.4,308.57,0,18.72,28.5
100266504,1,3,1054.27,0,0,18.72,28.5
100266505,1,3,642.85,0,0,18.72,28.5
100272301,1,3,2468.53,0,0,18.72,28.5
100272302,1,3,617.12,0,0,18.72,28.5
100272303,1,3,745.69,1247.1,0,18.72,28.5
100272304,1,3,218.57,89.99,771.42,18.72,28.5
100272305,1,3,8087.13,0,0,18.72,28.5
100272306,1,3,1812.82,475.71,0,18.72,28.5
100295601,1,4,2957.1,0,0,18.72,28.5
100295602,1,4,0,0,0,18.72,28.5
100295603,1,4,385.71,0,1157.14,18.72,28.5
100295604,1,4,2557.89,0,495.64,18.72,28.5
100295606,1,4,0,0,0,18.72,28.5
100296701,1,4,565.7,192.85,0,18.72,28.5
100296702,1,4,642.84,0,0,18.72,28.5
100296703,1,4,488.57,0,0,18.72,28.5
100296704,1,4,1787.12,565.7,0,18.72,28.5
100296705,1,4,1729.24,141.42,0,18.72,28.5
100296706,1,4,2622.83,0,0,18.72,28.5
100298201,1,4,2024.99,0,3085.71,18.72,28.5
100298202,1,4,1645.69,0,0,18.72,28.5
100298203,1,4,0,0,0,18.72,28.5
100298204,1,4,2609.94,0,1324.28,18.72,28.5
100298205,1,4,20815.64,0,1517.14,18.72,28.5
100298206,1,4,1388.57,0,0,18.72,28.5
100309902,1,3,1054.27,0,0,18.72,28.5
100309904,1,3,591.42,359.99,566.99,18.72,28.5
100309905,1,3,1234.26,276.42,1324.28,18.72,28.5
100309906,1,3,160.71,694.27,0,18.72,28.5
100310804,1,3,1079.97,269.99,0,18.72,28.5
100310805,1,3,527.13,0,0,18.72,28.5
100310806,1,3,0,359.99,0,18.72,28.5
100317502,1,4,1073.55,0,874.28,18.72,28.5
100317503,1,4,3225.83,0,0,18.72,28.5
100317504,1,4,597.85,0,0,18.72,28.5
100317505,1,4,359.99,334.28,0,18.72,28.5
100317506,1,4,3851.97,0,0,18.72,28.5
